"Chronic Absenteeism"
7/1/2024

Year,Level,Division,School,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","All Students",362,47,88.5,11.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Asian,19,2,90.5,9.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Black,74,19,79.6,20.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Economically Disadvantaged",190,43,81.5,18.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","English Learners",83,16,83.8,16.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Female,167,25,87,13
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Hispanic,84,19,81.6,18.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",Male,195,22,89.9,10.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Multiple Races",45,4,91.8,8.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary","Students with Disabilities",40,5,88.9,11.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Agnor-Hurt Elementary",White,140,2,98.6,1.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","All Students",1827,62,96.7,3.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Asian,155,1,99.4,0.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Black,277,20,93.3,6.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","Economically Disadvantaged",646,34,95,5
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","English Learners",205,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Female,872,41,95.5,4.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Hispanic,295,10,96.7,3.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Homeless,12,1,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",Male,955,21,97.8,2.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","Multiple Races",106,6,94.6,5.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High","Students with Disabilities",229,1,99.6,0.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Albemarle High",White,992,25,97.5,2.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem","All Students",598,22,96.5,3.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Asian,44,1,97.8,2.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Black,53,5,91.4,8.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Economically Disadvantaged",169,13,92.9,7.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem","English Learners",79,1,98.8,1.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Female,304,8,97.4,2.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Hispanic,94,2,97.9,2.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",Male,294,14,95.5,4.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Multiple Races",55,2,96.5,3.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem","Students with Disabilities",72,6,92.3,7.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Baker-Butler Elem",White,352,12,96.7,3.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","All Students",245,10,96.1,3.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Black,<,<,83.3,16.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Economically Disadvantaged",46,8,85.2,14.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","English Learners",<,<,80,20
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Female,126,3,97.7,2.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Hispanic,14,2,87.5,12.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",Male,119,7,94.4,5.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Multiple Races",15,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary","Students with Disabilities",27,4,87.1,12.9
"2020 - 2021",SCH,"Albemarle County Public Schools","Broadus Wood Elementary",White,209,7,96.8,3.2
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","All Students",710,19,97.4,2.6
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Asian,34,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Black,18,3,85.7,14.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","Economically Disadvantaged",96,11,89.7,10.3
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","English Learners",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Female,326,13,96.2,3.8
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Hispanic,32,1,97,3
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Homeless,<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",Male,384,6,98.5,1.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","Multiple Races",39,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","Native Hawaiian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary","Students with Disabilities",54,5,91.5,8.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Brownsville Elementary",White,585,15,97.5,2.5
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","All Students",151,7,95.6,4.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","American Indian",<,<,,
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",Asian,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",Black,<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","Economically Disadvantaged",33,2,94.3,5.7
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","English Learners",<,<,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",Female,80,6,93,7
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",Hispanic,13,1,92.9,7.1
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",Male,71,1,98.6,1.4
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","Multiple Races",17,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School","Students with Disabilities",33,0,100,0
"2020 - 2021",SCH,"Albemarle County Public Schools","Community Lab School",White,108,6,94.7,5.3
