type,county_code,license_name,business_name,premise_street,premise_city,premise_zip_code,business_type
1,107,Cold Dead Hands Llc,No Business Name Provided,25631 Laughter Dr,Aldie,20105,Residential
7,107,Phalange Arms Llc,Phalange Arms,25852 Cameron Walk Pl,Aldie,20105,Business
7,107,"Farage Precision, Llc",No Business Name Provided,25904 Plowman Point Lane,Aldie,20105,Residential
7,107,Rogue Armament Llc,No Business Name Provided,23696 Kilkerran Dr,Aldie,20105,Residential
7,107,Raging Host Llc,No Business Name Provided,24306 Misty Dew Place,Aldie,20105,Residential
1,47,"St Michael's Armory, Llc",No Business Name Provided,5459 Docs Rd,Amissville,20106,Residential
7,47,Zero Dark Precision Llc,No Business Name Provided,1308 Kristin Ln,Amissville,20106,Residential
7,47,Us Anodizing Inc,No Business Name Provided,15403 Covey Circle,Amissville,20106,Residential
1,157,"Frazier, Ronald L",Rapphannock Custom Guns,446 Viewtown Rd,Amissville,20106,Business
1,157,"Barron, James Robert",No Business Name Provided,196 Battle Mountain Rd,Amissville,20106,Residential
7,157,"54-17 Arms, Llc",No Business Name Provided,462 Viewtown Rd,Amissville,20106,Residential
1,157,"Bream, Frederick H",C & B Firearms,2234 Heritage Woods Ln,Amissville,201060000,Business
1,153,"Blackthorn International, Llc",No Business Name Provided,7900 Sudley Road Suite 405,Manassas,20109,Residential
1,153,Mcb Llc,No Business Name Provided,7600 Bland Dr,Manassas,20109,Residential
7,153,Hall's Gunworks Llc,Hallguns,11301 Industrial Road,Manassas,20109,Business
7,153,Home Security Arms Llc,No Business Name Provided,11900 Livingston Rd #146,Manassas,20109,Residential
7,153,"Mark Christopher Consulting Group, Llc",Blackburn Tactical,11168 Wheeler Ridge Dr,Manassas,20109,Business
8,153,"Badjr Kinetics, Llc",No Business Name Provided,"10687 Gaskins Way, Suite 105",Manassas,20109,Residential
1,683,"Pugh, David Vincent",No Business Name Provided,9040 Mike Garcia Dr Suite 117,Manassas,20109,Residential
2,683,Capital Investments Inc,The Vault Jewelry And Loan,8372-8374 Sudley Rd,Manassas,20109,Business
2,683,Webb's Financial Inc,Manassas Pawn,8215 Sudley Rd,Manassas,20109,Business
1,153,Battlefield Tactical Llc,No Business Name Provided,12050 General Trimbles Ln,Manassas,201090000,Residential
7,683,Vertu Corp,Cmore Competition/Colt Competition,7553 Gary Rd,Manassas,201090000,Business
7,153,Nova Advanced Tactical Solutions Llc,No Business Name Provided,9908 Rickover Ct,Manassas,201093160,Residential
1,153,R2 Gunworks Llc,No Business Name Provided,8513 Oakview Dr,Manassas,20110,Residential
1,153,Trojan Arm's And Tactical Inc,No Business Name Provided,10981 Nokesville Rd,Manassas,20110,Residential
1,683,Trojan Arms & Tactical Inc,No Business Name Provided,10981 Nokesville Rd,Manassas,20110,Residential
1,683,"Mueller, Clifford H",No Business Name Provided,9300 Fairview Ave,Manassas,20110,Residential
1,683,Security Associates International Ltd,Virginia Arms Company,9760 Center St,Manassas,20110,Business
1,683,"Ait Services, Llc",Matt's Guns,9780 Center St,Manassas,20110,Business
7,683,Paladin Tactical Group Llc,No Business Name Provided,8658 Weir Street,Manassas,20110,Residential
7,683,"Youlen, Michael S",No Business Name Provided,9104 Church Street Suite 200,Manassas,20110,Residential
1,683,"Chrobak, Walter John",Armslimited,8894 Bond Ct,Manassas,201100000,Business
1,683,"Ball, Kendall L",Balls Sporting Goods,10100 Holland Ct,Manassas,201106059,Business
1,153,"Civilian Arms, Llc",No Business Name Provided,9210 Arnie Ct,Manassas Park,20111,Residential
1,153,"Bowman, Lewis Matthew",Buckhall Sporting Goods,7600 Ellis Ct,Manassas,20111,Business
1,153,Common Sense Group Llc,No Business Name Provided,9389 Silvermist Ln,Manassas,20111,Residential
1,153,Civilian Arms Llc,No Business Name Provided,7039 Signal Hill Road,Manassas,20111,Residential
7,685,Walt's Auto Repair Inc,W A R Rifles,8391-J Euclid Ave,Manassas Park,20111,Business
1,685,Dominion Arms Llc,No Business Name Provided,7253 Centreville Rd,Manassas,201110000,Residential
1,153,"Roberts, James Joseph",J J Roberts Firearms Engraver,7808 Lake Dr,Manassas,201111947,Business
1,685,"Nahas, Richard Gregory",Smx Systems,7388 Chardon Ct,Manassas,201112415,Business
1,153,Target Engraving Llc,No Business Name Provided,8314 Morningside Dr,Manassas,20112,Residential
1,685,"Muddiman, Thomas W",Ammo Depot,6191 River Forest Dr,Manassas,201123047,Business
7,61,Greeley Custom Llc,No Business Name Provided,11465 Crest Hill Rd,Marshall,20115,Residential
8,107,David Condon Inc,No Business Name Provided,Rt 50 & Hamilton St,Middleburg,20118,Residential
7,61,"3c Arms, Llc",No Business Name Provided,1439 Cromwell Rd,Catlett,20119,Residential
7,61,"Shepherd, John J",Saddle Ridge Armory,7910 N Saddle Ridge Ct,Catlett,201191740,Business
1,59,"Bull Run Resale, Llc",No Business Name Provided,5408 Clubside Lane,Centreville,20120,Residential
1,59,Bristol Group Ltd,No Business Name Provided,13501 Portage Place,Centreville,20120,Residential
1,59,Validone Llc,No Business Name Provided,5505 Munsey Pl,Centreville,20120,Residential
1,59,Rentz Industries Llc,No Business Name Provided,14404 Red House Dr,Centreville,20120,Residential
7,59,Fairfax Shooters Supply Llc,Fairfax Shooters Supply,6417 Gristmill Square Trace,Centreville,20120,Business
7,59,Iron Mikes Llc,Iron Mikes,5513 Sequoia Farms Dr,Centreville,20120,Business
7,59,Patriot Ventures & Consulting Llc,Patriot Arms,6512 Bull Run Woods Trail,Centreville,20120,Business
1,59,"Papa's Gunworks, Llc",No Business Name Provided,13801 Cabells Mill Dr,Centreville,201201743,Residential
1,59,"Fleury, Anthony Edward",No Business Name Provided,5434 Gladewright Dr,Centreville,201203333,Residential
1,59,U S Coast Guard Exchange,Coast Guard Exchange,6335 Mulitplex Blvd,Centreville,20121,Business
7,59,Steel Rain Llc,Steel Rain,14219 Pony Hill Ct,Centreville,20121,Business
1,59,Northern Va Regional Park Authority,Bull Run Public Shooting Center,7700 Bull Run Dr,Centreville,201210000,Business
1,59,"Catalyst Research Group, Llc",Fairfax Armory,13338 Moore Rd,Clifton,20124,Business
7,59,Signal Hill Supply & Service Inc,No Business Name Provided,7701b Tiffany Court,Clifton,20124,Residential
7,59,"Hillenburg, Samuel Wayne",Dutch Hillenburg - Firearms Historian,7701b Tiffany Ct,Clifton,20124,Business
7,59,Precision Armory Llc,No Business Name Provided,12515 Knollbrook Dr,Clifton,20124,Residential
1,107,"Taylor, Michael P",Taylor Enterprises,17158 Bridge View Ct,Paeonian Springs,20129,Business
1,107,Pink Powder Llc,Pink Powder,126 Ivy Hills Terrace,Purcellville,20132,Business
