school_year,division,school,subgroup,n_students,percent,school_level,school_short
2016-2017,ACPS,Agnor-Hurt Elementary,All Students,31,6.4,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Asian,0,0,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Black,6,5.5,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Hispanic,11,8.7,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Native Hawaiian,0,0,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,White,12,6.7,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Multiple Races,2,4.3,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Students with Disabilities,5,8.8,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Economically Disadvantaged,18,6.5,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,English Learners,6,5.5,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Homeless,0,0,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Military Connected,0,0,Elementary,Agnor-Hurt
2016-2017,ACPS,Agnor-Hurt Elementary,Foster Care,0,0,Elementary,Agnor-Hurt
2016-2017,ACPS,Albemarle County Community Public Charter,All Students,6,12,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Black,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Hispanic,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,White,6,15.8,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Multiple Races,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Students with Disabilities,3,12.5,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Economically Disadvantaged,4,23.5,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,English Learners,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Military Connected,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle County Community Public Charter,Foster Care,0,0,Middle,ACCP
2016-2017,ACPS,Albemarle High,All Students,95,4.8,High,AHS
2016-2017,ACPS,Albemarle High,American Indian,0,0,High,AHS
2016-2017,ACPS,Albemarle High,Asian,4,2.6,High,AHS
2016-2017,ACPS,Albemarle High,Black,16,5.5,High,AHS
2016-2017,ACPS,Albemarle High,Hispanic,11,4.7,High,AHS
2016-2017,ACPS,Albemarle High,White,54,4.6,High,AHS
2016-2017,ACPS,Albemarle High,Multiple Races,9,8.5,High,AHS
2016-2017,ACPS,Albemarle High,Students with Disabilities,13,5.7,High,AHS
2016-2017,ACPS,Albemarle High,Economically Disadvantaged,40,6.9,High,AHS
2016-2017,ACPS,Albemarle High,English Learners,7,3.3,High,AHS
2016-2017,ACPS,Albemarle High,Homeless,1,4.2,High,AHS
2016-2017,ACPS,Albemarle High,Military Connected,0,0,High,AHS
2016-2017,ACPS,Albemarle High,Foster Care,0,0,High,AHS
2016-2017,ACPS,Baker-Butler Elem,All Students,37,6.1,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Asian,1,4,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Black,2,3.4,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Hispanic,4,5.2,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,White,24,5.9,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Multiple Races,6,15.4,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Students with Disabilities,9,14.1,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Economically Disadvantaged,23,13,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,English Learners,3,5.6,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Homeless,0,0,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Military Connected,3,9.4,Elementary,Baker-Butler
2016-2017,ACPS,Baker-Butler Elem,Foster Care,0,0,Elementary,Baker-Butler
2016-2017,ACPS,Benjamin F. Yancey Elementary,All Students,21,17.2,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Black,1,4.5,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Hispanic,3,15,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,White,15,21.4,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Multiple Races,2,20,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Students with Disabilities,6,21.4,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Economically Disadvantaged,20,21.1,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,English Learners,1,10,Elementary,Yancey
2016-2017,ACPS,Benjamin F. Yancey Elementary,Homeless,0,0,Elementary,Yancey
2016-2017,ACPS,Broadus Wood Elementary,All Students,18,7.1,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Asian,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Black,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Hispanic,1,6.7,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,White,16,7.2,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Multiple Races,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Students with Disabilities,3,14.3,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Economically Disadvantaged,10,22.7,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,English Learners,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Homeless,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Military Connected,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Broadus Wood Elementary,Foster Care,0,0,Elementary,Broadus Wood
2016-2017,ACPS,Brownsville Elementary,All Students,17,2.4,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Asian,0,0,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Black,1,7.7,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Hispanic,2,6.1,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,White,14,2.3,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Multiple Races,0,0,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Students with Disabilities,3,6.4,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Economically Disadvantaged,15,19.5,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,English Learners,0,0,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Military Connected,0,0,Elementary,Brownsville
2016-2017,ACPS,Brownsville Elementary,Foster Care,0,0,Elementary,Brownsville
2016-2017,ACPS,Crozet Elementary,All Students,24,6.6,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Asian,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Black,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Hispanic,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Native Hawaiian,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,White,21,7,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Multiple Races,3,14.3,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Students with Disabilities,5,10.9,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Economically Disadvantaged,14,13.6,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,English Learners,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Homeless,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Military Connected,0,0,Elementary,Crozet
2016-2017,ACPS,Crozet Elementary,Foster Care,0,0,Elementary,Crozet
2016-2017,ACPS,Hollymead Elementary,All Students,13,2.8,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,American Indian,0,0,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Asian,0,0,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Black,0,0,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Hispanic,3,10.3,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,White,9,2.9,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Multiple Races,1,3,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Students with Disabilities,2,4.9,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Economically Disadvantaged,5,8.5,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,English Learners,1,2.7,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Homeless,0,0,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Military Connected,1,10,Elementary,Hollymead
2016-2017,ACPS,Hollymead Elementary,Foster Care,0,0,Elementary,Hollymead
2016-2017,ACPS,Jack Jouett Middle,All Students,58,10,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,American Indian,0,0,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Asian,2,6.7,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Black,13,11.9,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Hispanic,15,12,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,White,22,8.1,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Multiple Races,4,9.1,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Students with Disabilities,15,16.5,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Economically Disadvantaged,38,13.3,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,English Learners,14,10.7,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Homeless,6,35.3,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Military Connected,0,0,Middle,Journey
2016-2017,ACPS,Jack Jouett Middle,Foster Care,0,0,Middle,Journey
2016-2017,ACPS,Jackson P. Burley Middle,All Students,55,9.3,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,American Indian,0,0,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Asian,0,0,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Black,9,7.6,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Hispanic,13,11.2,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Native Hawaiian,0,0,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,White,29,10.4,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Multiple Races,1,2.3,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Students with Disabilities,10,13,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Economically Disadvantaged,36,14.9,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,English Learners,9,8.3,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Homeless,4,21.1,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Military Connected,0,0,Middle,Burley
2016-2017,ACPS,Jackson P. Burley Middle,Foster Care,0,0,Middle,Burley
2016-2017,ACPS,Joseph T. Henley Middle,All Students,52,6.1,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,American Indian,0,0,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Asian,2,6.7,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Black,2,9.5,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Hispanic,3,7.3,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Native Hawaiian,0,0,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,White,44,6,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Multiple Races,1,4,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Students with Disabilities,13,14.3,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Economically Disadvantaged,13,12.3,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,English Learners,2,11.1,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Homeless,0,0,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Military Connected,0,0,Middle,Henley
2016-2017,ACPS,Joseph T. Henley Middle,Foster Care,0,0,Middle,Henley
2016-2017,ACPS,Leslie H. Walton Middle,All Students,27,7.9,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,American Indian,0,0,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Asian,0,0,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Black,0,0,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Hispanic,0,0,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,White,26,10.7,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Multiple Races,1,4,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Students with Disabilities,10,16.1,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Economically Disadvantaged,22,19.5,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,English Learners,0,0,Middle,Walton
2016-2017,ACPS,Leslie H. Walton Middle,Homeless,0,0,Middle,Walton
2016-2017,ACPS,Mary Carr Greer Elementary,All Students,65,10.3,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Asian,8,16,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Black,15,7.4,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Hispanic,12,7.1,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Native Hawaiian,0,0,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,White,25,16.1,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Multiple Races,4,7.5,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Students with Disabilities,10,13.7,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Economically Disadvantaged,51,10.4,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,English Learners,28,11.7,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Homeless,9,26.5,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Military Connected,0,0,Elementary,Greer
2016-2017,ACPS,Mary Carr Greer Elementary,Foster Care,0,0,Elementary,Greer
2016-2017,ACPS,Meriwether Lewis Elementary,All Students,8,1.8,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Asian,1,6.7,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Black,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Hispanic,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Native Hawaiian,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,White,7,1.7,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Multiple Races,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Students with Disabilities,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Economically Disadvantaged,5,11.9,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,English Learners,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Meriwether Lewis Elementary,Military Connected,0,0,Elementary,Meriwether Lewis
2016-2017,ACPS,Monticello High,All Students,74,6.6,High,MHS
2016-2017,ACPS,Monticello High,American Indian,0,0,High,MHS
2016-2017,ACPS,Monticello High,Asian,2,7.4,High,MHS
2016-2017,ACPS,Monticello High,Black,8,5.5,High,MHS
2016-2017,ACPS,Monticello High,Hispanic,12,8.2,High,MHS
2016-2017,ACPS,Monticello High,White,44,6,High,MHS
2016-2017,ACPS,Monticello High,Multiple Races,7,10.6,High,MHS
2016-2017,ACPS,Monticello High,Students with Disabilities,12,8.6,High,MHS
2016-2017,ACPS,Monticello High,Economically Disadvantaged,44,11.2,High,MHS
2016-2017,ACPS,Monticello High,English Learners,5,6,High,MHS
2016-2017,ACPS,Monticello High,Homeless,4,20,High,MHS
2016-2017,ACPS,Monticello High,Military Connected,0,0,High,MHS
2016-2017,ACPS,Monticello High,Foster Care,0,0,High,MHS
2016-2017,ACPS,Mortimer Y. Sutherland Middle,All Students,28,4.9,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,American Indian,0,0,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Asian,1,1.6,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Black,1,2.1,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Hispanic,2,5,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,White,22,5.6,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Multiple Races,2,6.5,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Students with Disabilities,7,11.1,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Economically Disadvantaged,4,3.9,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,English Learners,0,0,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Homeless,0,0,Middle,Lakeside
2016-2017,ACPS,Mortimer Y. Sutherland Middle,Military Connected,1,8.3,Middle,Lakeside
2016-2017,ACPS,Murray High,All Students,29,26.9,High,Community Lab
2016-2017,ACPS,Murray High,American Indian,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Asian,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Black,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Hispanic,0,0,High,Community Lab
2016-2017,ACPS,Murray High,White,20,23.5,High,Community Lab
2016-2017,ACPS,Murray High,Multiple Races,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Students with Disabilities,10,27,High,Community Lab
2016-2017,ACPS,Murray High,Economically Disadvantaged,9,34.6,High,Community Lab
2016-2017,ACPS,Murray High,English Learners,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Homeless,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Military Connected,0,0,High,Community Lab
2016-2017,ACPS,Murray High,Foster Care,0,0,High,Community Lab
2016-2017,ACPS,Paul H. Cale Elementary,All Students,41,6.5,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Asian,1,5.6,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Black,3,7.5,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Hispanic,23,10.2,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,White,12,3.9,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Multiple Races,2,5.1,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Students with Disabilities,6,7.3,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Economically Disadvantaged,30,11.2,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,English Learners,15,7.7,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Homeless,4,28.6,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Military Connected,0,0,Elementary,Mountain View
2016-2017,ACPS,Paul H. Cale Elementary,Foster Care,0,0,Elementary,Mountain View
2016-2017,ACPS,Red Hill Elementary,All Students,18,13.2,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,American Indian,0,0,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Black,0,0,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Hispanic,1,7.1,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,White,13,13,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Multiple Races,1,8.3,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Students with Disabilities,3,17.6,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Economically Disadvantaged,12,17.9,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,English Learners,0,0,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Homeless,0,0,Elementary,Red Hill
2016-2017,ACPS,Red Hill Elementary,Military Connected,0,0,Elementary,Red Hill
2016-2017,ACPS,Scottsville Elementary,All Students,9,5,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Asian,0,0,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Black,0,0,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Hispanic,0,0,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,White,9,5.8,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Multiple Races,0,0,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Students with Disabilities,1,3.7,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Economically Disadvantaged,5,6.8,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,English Learners,0,0,Elementary,Scottsville
2016-2017,ACPS,Scottsville Elementary,Military Connected,0,0,Elementary,Scottsville
2016-2017,ACPS,Stone Robinson Elementary,All Students,30,7.6,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Asian,0,0,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Black,3,7.5,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Hispanic,4,14.3,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Native Hawaiian,0,0,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,White,23,7.9,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Multiple Races,0,0,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Students with Disabilities,6,14.3,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Economically Disadvantaged,16,13.7,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,English Learners,2,11.8,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Homeless,0,0,Elementary,Stone Robinson
2016-2017,ACPS,Stone Robinson Elementary,Military Connected,0,0,Elementary,Stone Robinson
