incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,date
739539,"December 31, 2016",Virginia,Newport News,Vernon Place,0,1,0,0,0,2016-12-31
739864,"December 31, 2016",Virginia,Portsmouth,1500 block of Wilcox Avenue,1,0,0,0,0,2016-12-31
740606,"December 31, 2016",Virginia,Henrico (Highland Springs),600 block of York Ave,0,1,0,0,0,2016-12-31
738674,"December 30, 2016",Virginia,Gladys,8000 block of Red House Rd,1,0,0,0,1,2016-12-30
739033,"December 30, 2016",Virginia,Portsmouth,1100 block of Virginia Ave,0,1,0,0,0,2016-12-30
738943,"December 30, 2016",Virginia,Fredericksburg,1000 block of Myrick St,0,0,0,0,0,2016-12-30
739068,"December 30, 2016",Virginia,Charlottesville,500 block of 6th St SE,0,1,0,0,0,2016-12-30
738679,"December 30, 2016",Virginia,Danville,300 block of Wooding Avenue,0,1,0,0,0,2016-12-30
738960,"December 29, 2016",Virginia,Hanover,32162 Mount Gideon Rd,0,0,0,0,1,2016-12-29
737375,"December 29, 2016",Virginia,Hampton,4000 block of West Mercury Boulevard,0,1,0,0,0,2016-12-29
744407,"December 29, 2016",Virginia,Collinsville,2500 block of Virginia Avenue,0,0,0,0,1,2016-12-29
745004,"December 29, 2016",Virginia,Norfolk,300 block of Mahone Avenue,0,0,0,0,1,2016-12-29
738095,"December 29, 2016",Virginia,Virginia Beach,5100 block of Dandy Court,0,1,0,0,0,2016-12-29
738093,"December 29, 2016",Virginia,Roanoke,Orange Ave and 20th Street,0,1,0,0,0,2016-12-29
738503,"December 29, 2016",Virginia,Williamsburg,731 E Rochambeau Dr,0,0,0,0,3,2016-12-29
736806,"December 29, 2016",Virginia,Newport News,South Willow Court,0,1,0,0,0,2016-12-29
738500,"December 29, 2016",Virginia,Hanover,32162 Mount Gideon Rd,0,0,0,0,1,2016-12-29
736883,"December 28, 2016",Virginia,Petersburg,Terrace Ave,1,0,0,0,0,2016-12-28
735747,"December 28, 2016",Virginia,Newport News,1200 block of 21st Street,2,0,0,0,0,2016-12-28
736668,"December 28, 2016",Virginia,Abingdon,27000 block of Fiesta Dr,0,0,0,1,0,2016-12-28
739087,"December 28, 2016",Virginia,Abingdon,27000 block of Fiesta Dr,0,1,0,0,1,2016-12-28
736876,"December 27, 2016",Virginia,Richmond,3500 block of Walmsley Boulevard,0,1,0,0,0,2016-12-27
735932,"December 27, 2016",Virginia,Hampton,1800 block of Shell Road,0,1,0,0,0,2016-12-27
736799,"December 27, 2016",Virginia,Hampton,1800 block of West Mercury Blvd,0,0,0,0,1,2016-12-27
735750,"December 27, 2016",Virginia,Franklin,Laurel Street,0,1,0,0,0,2016-12-27
