incident_date,state,city_or_county,address,participant_gender,participant_age_group,date
"January 28, 2025",Virginia,Suffolk,700 block of Nixon Dr,male,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Suffolk,700 block of Nixon Dr,male,Adult 18+,2025-01-28
"January 19, 2025",Virginia,Richmond,2200 block of Riverside Dr,male,Adult 18+,2025-01-19
"January 19, 2025",Virginia,Richmond,2200 block of Riverside Dr,male,Adult 18+,2025-01-19
"January 5, 2025",Virginia,Timber Ridge,N/A,male,Adult 18+,2025-01-05
"December 10, 2024",Virginia,Arlington,1850 N Moore St,male,Adult 18+,2024-12-10
"December 5, 2024",Virginia,Woodbridge,5026 Davis Ford Rd,male,Adult 18+,2024-12-05
"November 19, 2024",Virginia,Virginia Beach,4600 Virginia Beach Blvd,male,Adult 18+,2024-11-19
"November 11, 2024",Virginia,Merry Point,N/A,male,Unknown,2024-11-11
"November 9, 2024",Virginia,Christiansburg,3800 block of Stanley Rd,male,Adult 18+,2024-11-09
"November 2, 2024",Virginia,Fredericksburg,3000 block of Plank Rd,male,Adult 18+,2024-11-02
"November 2, 2024",Virginia,Fredericksburg,3000 block of Plank Rd,male,Adult 18+,2024-11-02
"October 30, 2024",Virginia,Triangle,I-95 and Inn St,male,Adult 18+,2024-10-30
"October 24, 2024",Virginia,Winchester,100 block of Maloy Dr,male,Adult 18+,2024-10-24
"October 15, 2024",Virginia,Richmond,2900 block of E Broad St,male,Adult 18+,2024-10-15
"October 14, 2024",Virginia,Newport News,500 block of Crown Ct,male,Adult 18+,2024-10-14
"October 11, 2024",Virginia,Fork Union,400 block of Gravel Hill Rd,male,Adult 18+,2024-10-11
"October 6, 2024",Virginia,Richmond (North Chesterfield),Iron Bridge Rd and Jessup Rd,male,Adult 18+,2024-10-06
"September 20, 2024",Virginia,Christiansburg,Viewland Cir,male,Adult 18+,2024-09-20
"September 19, 2024",Virginia,Richmond,2300 block of Fairfield Ave,male,Teen 12-17,2024-09-19
"September 19, 2024",Virginia,Richmond,2300 block of Fairfield Ave,male,Adult 18+,2024-09-19
"September 19, 2024",Virginia,Manassas,Doane Dr,male,Adult 18+,2024-09-19
"September 16, 2024",Virginia,Reston,11800 block of Sunrise Valley Dr,female,Adult 18+,2024-09-16
"September 13, 2024",Virginia,Luray,US-211 and Bixlers Ferry Rd,male,Adult 18+,2024-09-13
"September 1, 2024",Virginia,Roanoke,308 Orange Ave NE,male,Adult 18+,2024-09-01
"August 29, 2024",Virginia,Roanoke,700 block of 29th St NW,male,Adult 18+,2024-08-29
"August 19, 2024",Virginia,Alexandria,5101 Maris Ave,male,Adult 18+,2024-08-19
"August 14, 2024",Virginia,Virginia Beach,1200 block of Quarter Way,male,Adult 18+,2024-08-14
"August 14, 2024",Virginia,Front Royal,200 block of W 8th St,male,Adult 18+,2024-08-14
"August 12, 2024",Virginia,Alexandria,5101 Maris Ave,male,Adult 18+,2024-08-12
"August 9, 2024",Virginia,Marion,VA-16 and Hatchery Dr,male,Adult 18+,2024-08-09
"August 9, 2024",Virginia,Marion,VA-16 and Hatchery Dr,male,Adult 18+,2024-08-09
"August 9, 2024",Virginia,Marion,VA-16 and Hatchery Dr,male,Adult 18+,2024-08-09
"August 1, 2024",Virginia,Woodbridge,3000 block of Bromley Ct,male,Adult 18+,2024-08-01
"July 27, 2024",Virginia,Newport News,3100 block of Radius Way,male,Adult 18+,2024-07-27
"July 20, 2024",Virginia,Virginia Beach,4100 block of White Beam Ct,male,Adult 18+,2024-07-20
"July 18, 2024",Virginia,Blue Ridge,Blue Ridge Pkwy,male,Adult 18+,2024-07-18
"July 6, 2024",Virginia,Norfolk,3800 block of Arcadia St,male,Adult 18+,2024-07-06
"July 6, 2024",Virginia,Norfolk,3800 block of Arcadia St,male,Adult 18+,2024-07-06
"July 5, 2024",Virginia,Arlington,19th St N and N Kent S,male,Adult 18+,2024-07-05
"June 30, 2024",Virginia,Fredericksburg,10400 block of Spotswood Dr,male,Adult 18+,2024-06-30
