incident_date,state,city_or_county,address,participant_gender,participant_age_group,date
"February 7, 2025",Virginia,Richmond,2200 block of W St,male,Teen 12-17,2025-02-07
"February 7, 2025",Virginia,Pulaski,300 block of S Madison Ave,male,Adult 18+,2025-02-07
"February 7, 2025",Virginia,Pulaski,300 block of S Madison Ave,N/A,Unknown,2025-02-07
"February 6, 2025",Virginia,Richmond,3300 block of Decatur St,male,Adult 18+,2025-02-06
"February 6, 2025",Virginia,Chesapeake,3025 Welcome Rd,female,Adult 18+,2025-02-06
"February 6, 2025",Virginia,Chesapeake,3025 Welcome Rd,female,Child 0-11,2025-02-06
"February 6, 2025",Virginia,Chesapeake,3025 Welcome Rd,male,Child 0-11,2025-02-06
"February 6, 2025",Virginia,Chesapeake,3025 Welcome Rd,female,Teen 12-17,2025-02-06
"February 5, 2025",Virginia,Portsmouth,6700 block of Kenny Ln,female,Adult 18+,2025-02-05
"February 5, 2025",Virginia,Portsmouth,6700 block of Kenny Ln,male,Adult 18+,2025-02-05
"February 5, 2025",Virginia,Harrisonburg,1000 block of Blue Ridge Dr,male,Adult 18+,2025-02-05
"February 5, 2025",Virginia,Harrisonburg,1000 block of Blue Ridge Dr,N/A,Unknown,2025-02-05
"February 5, 2025",Virginia,Harrisonburg,1000 block of Blue Ridge Dr,male,Adult 18+,2025-02-05
"February 4, 2025",Virginia,Richmond,1300 block of Coalter St,male,Adult 18+,2025-02-04
"February 4, 2025",Virginia,Lynchburg,805 Chinook Place Shawnee Ln,male,Teen 12-17,2025-02-04
"February 4, 2025",Virginia,Lynchburg,805 Chinook Place Shawnee Ln,male,Teen 12-17,2025-02-04
"February 4, 2025",Virginia,Lynchburg,805 Chinook Place Shawnee Ln,male,Teen 12-17,2025-02-04
"February 2, 2025",Virginia,Richmond,1600 block of Glenfield Ave,male,Adult 18+,2025-02-02
"February 2, 2025",Virginia,Richmond,1600 block of Glenfield Ave,female,Adult 18+,2025-02-02
"February 1, 2025",Virginia,Richmond,2700 block of Terminal Ave,female,Adult 18+,2025-02-01
"February 1, 2025",Virginia,Winchester,N/A,male,Adult 18+,2025-02-01
"January 31, 2025",Virginia,Henrico,I-295 and MD-895,male,Adult 18+,2025-01-31
"January 31, 2025",Virginia,Henrico,I-295 and MD-895,N/A,Adult 18+,2025-01-31
"January 31, 2025",Virginia,Richmond,200 block of Charity St,male,Adult 18+,2025-01-31
"January 30, 2025",Virginia,Richmond,1400 block of Jennie Scher Rd,male,Adult 18+,2025-01-30
"January 29, 2025",Virginia,Herndon,2100 block of Centreville Rd,male,Adult 18+,2025-01-29
"January 28, 2025",Virginia,Suffolk,700 block of Nixon Dr,male,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Suffolk,700 block of Nixon Dr,male,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Roanoke,700 block of Tazewell Avenue SE,male,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Petersburg,700 block of Independence St,female,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Petersburg,700 block of Independence St,female,Adult 18+,2025-01-28
"January 28, 2025",Virginia,Norfolk,4800 block of Killam Ave,male,Adult 18+,2025-01-28
"January 27, 2025",Virginia,Berryville,1741 Parshall Rd,N/A,Adult 18+,2025-01-27
"January 27, 2025",Virginia,Berryville,1741 Parshall Rd,female,Adult 18+,2025-01-27
