year,type,district,n_juvenile,n_adult,n_unknown,n_missing,est_pop_district,n_total
2016,crime_all,albemarle,5,71,22,NA,105715,98
2016,crime_all,charlottesville,9,78,28,NA,49071,115
2016,crime_all,virginia,1018,9883,2215,3052,8411808,16168
2017,crime_all,albemarle,6,84,14,NA,107697,104
2017,crime_all,charlottesville,12,73,13,1,49132,99
2017,crime_all,virginia,1083,10990,1970,2890,8470020,16933
2018,crime_all,albemarle,5,88,19,NA,108639,112
2018,crime_all,charlottesville,6,58,28,2,49281,94
2018,crime_all,virginia,1009,10761,1904,2504,8517685,16178
2019,crime_all,albemarle,4,74,9,NA,109722,87
2019,crime_all,charlottesville,5,41,20,NA,49181,66
2019,crime_all,virginia,1062,10912,1536,3268,8535519,16778
2020,crime_all,albemarle,3,78,25,2,110545,108
2020,crime_all,charlottesville,3,67,32,18,49447,120
2020,crime_all,virginia,979,13227,1788,4339,8586967,20333
2021,crime_all,albemarle,3,57,8,17,114424,85
2021,crime_all,charlottesville,4,76,13,50,51079,143
2021,crime_all,virginia,1028,13285,1853,4930,8655608,21096
2022,crime_all,albemarle,9,79,19,20,115495,127
2022,crime_all,charlottesville,11,86,3,34,51278,134
2022,crime_all,virginia,1298,14493,1733,4804,8696955,22328
2023,crime_all,albemarle,9,82,11,14,116148,116
2023,crime_all,charlottesville,7,63,2,28,51132,100
2023,crime_all,virginia,1369,14520,1059,4390,8729032,21338
