year,type,n_juvenile,n_adult,n_unknown,n_missing,district,est_pop_district,n_total
2016,crime_person,0,9,3,0,albemarle,105715,12
2016,crime_property,1,6,13,0,albemarle,105715,20
2016,crime_society,4,56,6,0,albemarle,105715,66
2017,crime_person,2,11,1,0,albemarle,107697,14
2017,crime_property,0,3,5,0,albemarle,107697,8
2017,crime_society,4,70,8,0,albemarle,107697,82
2018,crime_person,1,11,9,0,albemarle,108639,21
2018,crime_property,0,3,4,0,albemarle,108639,7
2018,crime_society,4,74,6,0,albemarle,108639,84
2019,crime_person,2,7,4,0,albemarle,109722,13
2019,crime_property,0,4,4,0,albemarle,109722,8
2019,crime_society,2,63,1,0,albemarle,109722,66
2020,crime_person,0,11,5,1,albemarle,110545,17
2020,crime_property,0,2,7,0,albemarle,110545,9
2020,crime_society,3,65,13,1,albemarle,110545,82
2021,crime_person,0,6,3,4,albemarle,114424,13
2021,crime_property,0,2,2,1,albemarle,114424,5
2021,crime_society,3,49,3,12,albemarle,114424,67
2022,crime_person,2,15,4,8,albemarle,115495,29
2022,crime_property,0,2,3,2,albemarle,115495,7
2022,crime_society,7,61,12,10,albemarle,115495,90
2016,incident_person,0,7,3,0,albemarle,105715,10
2016,incident_property,1,6,13,0,albemarle,105715,20
2016,incident_society,4,56,6,0,albemarle,105715,66
2017,incident_person,2,9,1,0,albemarle,107697,12
2017,incident_property,0,3,5,0,albemarle,107697,8
2017,incident_society,4,70,8,0,albemarle,107697,82
2018,incident_person,1,9,6,0,albemarle,108639,16
2018,incident_property,0,3,4,0,albemarle,108639,7
2018,incident_society,4,76,6,0,albemarle,108639,86
2019,incident_person,1,5,3,0,albemarle,109722,9
2019,incident_property,0,4,4,0,albemarle,109722,8
2019,incident_society,2,63,1,0,albemarle,109722,66
2020,incident_person,0,9,5,1,albemarle,110545,15
2020,incident_property,0,2,7,0,albemarle,110545,9
2020,incident_society,3,65,13,1,albemarle,110545,82
2021,incident_person,0,6,2,4,albemarle,114424,12
2021,incident_property,0,2,2,1,albemarle,114424,5
2021,incident_society,3,49,3,12,albemarle,114424,67
2022,incident_person,1,9,3,4,albemarle,115495,17
2022,incident_property,0,2,3,2,albemarle,115495,7
2022,incident_society,7,61,12,10,albemarle,115495,90
2016,crime_person,2,38,18,0,charlottesville,49071,58
2016,crime_property,3,7,6,0,charlottesville,49071,16
2016,crime_society,4,33,4,0,charlottesville,49071,41
2017,crime_person,7,30,8,0,charlottesville,49132,45
2017,crime_property,0,7,4,0,charlottesville,49132,11
2017,crime_society,5,36,1,1,charlottesville,49132,43
2018,crime_person,2,19,16,0,charlottesville,49281,37
2018,crime_property,2,6,3,0,charlottesville,49281,11
2018,crime_society,2,33,9,2,charlottesville,49281,46
2019,crime_person,1,14,10,0,charlottesville,49181,25
2019,crime_property,2,3,4,0,charlottesville,49181,9
2019,crime_society,2,25,6,0,charlottesville,49181,33
2020,crime_person,3,18,21,11,charlottesville,49447,53
2020,crime_property,0,4,3,4,charlottesville,49447,11
2020,crime_society,0,45,8,3,charlottesville,49447,56
2021,crime_person,2,30,9,45,charlottesville,51079,86
2021,crime_property,1,12,0,3,charlottesville,51079,16
2021,crime_society,1,34,4,2,charlottesville,51079,41
2022,crime_person,5,46,3,24,charlottesville,51278,78
2022,crime_property,0,5,0,6,charlottesville,51278,11
2022,crime_society,6,36,0,4,charlottesville,51278,46
2016,incident_person,2,24,9,0,charlottesville,49071,35
2016,incident_property,3,7,6,0,charlottesville,49071,16
2016,incident_society,4,33,4,0,charlottesville,49071,41
2017,incident_person,3,22,7,0,charlottesville,49132,32
2017,incident_property,0,7,4,0,charlottesville,49132,11
2017,incident_society,5,36,1,1,charlottesville,49132,43
2018,incident_person,1,13,10,0,charlottesville,49281,24
2018,incident_property,2,6,3,0,charlottesville,49281,11
2018,incident_society,2,33,9,2,charlottesville,49281,46
2019,incident_person,1,10,8,0,charlottesville,49181,19
2019,incident_property,2,3,4,0,charlottesville,49181,9
2019,incident_society,2,25,6,0,charlottesville,49181,33
2020,incident_person,3,16,13,5,charlottesville,49447,37
2020,incident_property,0,4,3,4,charlottesville,49447,11
2020,incident_society,0,45,8,3,charlottesville,49447,56
2021,incident_person,1,21,6,26,charlottesville,51079,54
2021,incident_property,1,12,0,3,charlottesville,51079,16
2021,incident_society,1,34,4,2,charlottesville,51079,41
2022,incident_person,3,32,2,16,charlottesville,51278,53
2022,incident_property,0,5,0,6,charlottesville,51278,11
2022,incident_society,6,36,0,4,charlottesville,51278,46
2016,crime_person,235,2052,797,1060,virginia,8411808,4144
2016,crime_property,220,1246,628,726,virginia,8411808,2820
2016,crime_society,563,6586,790,1266,virginia,8411808,9205
2017,crime_person,242,2159,634,935,virginia,8470020,3970
2017,crime_property,247,1116,577,646,virginia,8470020,2586
2017,crime_society,595,7715,760,1309,virginia,8470020,10379
2018,crime_person,223,2164,732,885,virginia,8517685,4004
2018,crime_property,233,859,445,489,virginia,8517685,2026
2018,crime_society,554,7738,727,1130,virginia,8517685,10149
2019,crime_person,273,2277,533,1367,virginia,8535519,4450
2019,crime_property,200,832,401,526,virginia,8535519,1959
2019,crime_society,589,7806,602,1374,virginia,8535519,10371
2020,crime_person,297,3262,634,1989,virginia,8586967,6182
2020,crime_property,167,732,306,459,virginia,8586967,1664
2020,crime_society,515,9231,848,1891,virginia,8586967,12485
2021,crime_person,308,3513,788,2408,virginia,8655608,7017
2021,crime_property,130,637,252,491,virginia,8655608,1510
2021,crime_society,589,9111,813,2030,virginia,8655608,12543
2022,crime_person,379,3866,785,2287,virginia,8696955,7317
2022,crime_property,134,709,307,528,virginia,8696955,1678
2022,crime_society,783,9897,648,1995,virginia,8696955,13323
2016,incident_person,161,1519,554,769,virginia,8411808,3003
2016,incident_property,220,1246,628,726,virginia,8411808,2820
2016,incident_society,563,6586,790,1266,virginia,8411808,9205
2017,incident_person,161,1567,450,687,virginia,8470020,2865
2017,incident_property,247,1116,577,646,virginia,8470020,2586
2017,incident_society,595,7715,760,1309,virginia,8470020,10379
2018,incident_person,164,1653,506,666,virginia,8517685,2989
2018,incident_property,233,859,445,489,virginia,8517685,2026
2018,incident_society,554,7738,727,1130,virginia,8517685,10149
2019,incident_person,177,1698,395,950,virginia,8535519,3220
2019,incident_property,200,832,401,526,virginia,8535519,1959
2019,incident_society,589,7806,602,1374,virginia,8535519,10371
2020,incident_person,204,2369,459,1306,virginia,8586967,4338
2020,incident_property,167,732,306,459,virginia,8586967,1664
2020,incident_society,515,9231,848,1891,virginia,8586967,12485
2021,incident_person,210,2684,532,1565,virginia,8655608,4991
