year,district,est_pop_district
2016,albemarle,105715
2017,albemarle,107697
2018,albemarle,108639
2019,albemarle,109722
2020,albemarle,110545
2021,albemarle,114424
2022,albemarle,115495
2016,charlottesville,49071
2017,charlottesville,49132
2018,charlottesville,49281
2019,charlottesville,49181
2020,charlottesville,49447
2021,charlottesville,51079
2022,charlottesville,51278
2016,virginia,8411808
2017,virginia,8470020
2018,virginia,8517685
2019,virginia,8535519
2020,virginia,8586967
2021,virginia,8655608
2022,virginia,8696955
