Series,Label,Strength of Gun Laws (out of 100 points),"Gun Deaths per 100,000 Residents"
State,MS,3,29.6
State,LA,20.5,28.2
State,NM,40.5,27.3
State,AL,12.5,25.5
State,MT,5,23.9
State,MO,9,24.2
State,AK,9,22.4
State,AR,3,21.9
State,SC,18,20.8
State,TN,16.5,20.5
State,WY,6.5,20.4
State,AZ,8.5,20.1
State,OK,7.5,19.8
State,GA,5,19.7
State,NV,35,18.9
State,KY,9,18.8
State,IN,16.5,17.4
State,ID,5,17
State,CO,63,17.1
State,NC,25,16.8
State,KS,9.5,16.8
State,ND,11.5,16.4
State,WV,18.5,16.2
State,SD,5.5,15.7
State,TX,13.5,15.3
State,OH,13,15.6
State,VA,49,14.9
State,MI,35,15
State,PA,40,14.7
State,OR,68,14.4
State,IL,83,14.4
State,FL,27.5,14
State,WI,28,14
State,UT,12,13.7
State,MD,75,13.6
State,WA,69,12.4
State,NE,25,12.2
State,VT,39.5,12
State,DE,61.5,11.9
State,ME,20.5,11.7
State,IA,15.5,11.2
State,NH,9,10.1
State,MN,53.5,9.6
State,CA,89.5,8.6
State,CT,82.5,6.9
State,NY,83.5,5.3
State,NJ,79,5
State,HI,79.5,4.5
State,MA,81,3.7
State,RI,57.5,3.1
